total_pop,median_income,no_vehicle_hh,hh_total,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
2528,55648,0,990,36005020601,0.31807324840764334,0.15271423740707782,325,0.18742791234140715,0.704040404040404,0.008801341156747695
4867,44769,33,1965,36005020900,0.23027806385169927,0.06491905285113375,394,0.12515883100381195,0.983206106870229,0.01059135039717564
7895,46269,278,3562,36005021001,0.3031416265518115,0.13778261555124596,1589,0.29812382739212007,0.83464345873105,0.001807061440088963
7925,71397,355,3182,36005021002,0.2286435331230284,0.06328452212246288,1653,0.3296111665004985,0.8208673790069139,0.0
6268,42077,4,1997,36005021100,0.2694367797435481,0.10407776874298261,617,0.16322751322751322,0.899349023535303,0.016235413495687467
4975,66329,264,2294,36005021200,0.18133767025818257,0.015978659257617045,1025,0.2861529871580123,0.7497820401046208,0.006048822639879024
1323,34470,54,464,36005021301,0.19879062736205594,0.03343161636149042,111,0.1423076923076923,0.7435344827586207,0.04258943781942078
5947,23639,40,2303,36005021302,0.5128636287203632,0.3475046177197977,559,0.14010025062656642,0.9609205384281372,0.021272727272727273
4665,39756,51,1360,36005021501,0.40187332738626225,0.23651431638569673,583,0.20528169014084507,0.9338235294117647,0.0007060484819957637
6986,19904,0,2239,36005021502,0.4328132101196788,0.2674541991191133,616,0.16492637215528783,0.9271996426976329,0.00950774421101058
4421,45156,107,1609,36005021601,0.2289074869938928,0.06354847599332727,338,0.12403669724770643,0.8620261031696707,0.007125307125307125
6093,60286,402,2361,36005021602,0.18256850445691647,0.01720949345635095,1434,0.3320981936081519,0.7301990681914443,0.0
5371,40394,0,1781,36005021700,0.34742750233863423,0.1820684913380687,728,0.19606786964718556,0.9803481190342505,0.0020016012810248197
6037,55804,174,2198,36005021800,0.29853479853479853,0.133175787534233,633,0.14992894362861203,0.7716105550500455,0.018033344675059543
949,45906,0,384,36005021900,0.24620390455531455,0.08084489355474903,139,0.20902255639097744,1.0,0.006514657980456026
2142,32174,55,650,36005022000,0.5036354823073195,0.338276471306754,78,0.0663265306122449,0.88,0.04726500265533723
4424,55078,0,1292,36005022101,0.3610413336378169,0.19568232263725135,387,0.16098169717138103,1.0,0.0
6143,50051,0,1655,36005022102,0.288295621032069,0.1229366100315035,399,0.11687170474516696,1.0,0.024863339798977254
3333,52734,49,1066,36005022200,0.27303439803439805,0.10767538703383253,408,0.20178041543026706,0.8217636022514071,0.013522215067611075
5447,33646,0,2220,36005022300,0.2832952815829528,0.11793627058238729,479,0.134023503077784,1.0,0.0419639110365086
2640,63571,50,998,36005022401,0.10712924132672512,-0.0582297696738404,681,0.35993657505285415,0.844689378757515,0.013090043633478779
2998,88534,91,1142,36005022403,0.11207471647765177,-0.05328429452291375,657,0.3154104656745079,0.841506129597198,0.0070710829921845925
4795,66121,273,1976,36005022404,0.12179353493222106,-0.04356547606834446,980,0.28840494408475575,0.743421052631579,0.014176893779094372
9093,52834,0,2319,36005022500,0.27722772277227725,0.11186871177171173,708,0.12488975127888516,0.9560155239327296,0.015834642813973166
4876,31500,17,2008,36005022701,0.31849103277674706,0.15313202177618154,458,0.144251968503937,0.9805776892430279,0.020499108734402853
1449,27165,0,559,36005022702,0.5127674258109041,0.3474084148103386,312,0.3098311817279047,0.9427549194991055,0.0
2050,75489,0,717,36005022703,0.34,0.1746409889994345,326,0.2798283261802575,1.0,0.014438502673796792
5693,86549,16,2369,36005022800,0.12928157386263833,-0.03607743713792719,1496,0.3818274629913221,0.9003799071338118,0.01628122109158187
5466,50023,0,2022,36005022901,0.3162142333088775,0.15085522230831197,634,0.17596447404940327,0.9683481701285855,0.0028912875867386275
3501,51964,125,1165,36005022902,0.3259747706422018,0.1606157596416363,612,0.27079646017699116,0.7828326180257511,0.0
2773,55625,15,1033,36005023000,0.286693112152903,0.12133410115233748,272,0.16494845360824742,0.7986447241045499,0.03091128061019671
1675,55179,7,427,36005023100,0.2847854356306892,0.11942642463012368,89,0.08444022770398482,0.8875878220140515,0.019429265330904676
2378,55288,56,827,36005023200,0.25735912531539107,0.09200011431482555,279,0.1836734693877551,0.7230955259975816,0.0
4067,31887,157,1716,36005023301,0.31268509378084897,0.14732608278028345,439,0.14921821889870837,0.9085081585081585,0.0032770355432316612
3746,52092,24,1049,36005023302,0.2733582487987186,0.1079992377981531,274,0.12460209185993633,0.9561487130600572,0.00841311285175515
3294,39419,13,1236,36005023501,0.33060109289617484,0.16524208189560932,146,0.06406318560772269,0.9894822006472492,0.0
4455,49286,32,1600,36005023502,0.22805836139169472,0.0626993503911292,595,0.22893420546363985,0.901875,0.016539126141693408
1714,73152,0,560,36005023600,0.10433763188745604,-0.06102137911310948,217,0.20394736842105263,0.8892857142857142,0.0489060489060489
1156,53304,16,327,36005023702,0.3685121107266436,0.20315309972607806,98,0.12727272727272726,0.9510703363914373,0.018691588785046728
5214,21551,0,1809,36005023703,0.5011618900077459,0.3358028790071804,289,0.09355778569116219,0.9878385848535103,0.015806111696522657
3750,34875,0,1409,36005023704,0.428,0.26264098899943444,290,0.12792236435818263,1.0,0.03192702394526796
2349,72198,42,751,36005023800,0.12457044673539519,-0.04078856426517033,326,0.2177688710754843,0.6498002663115846,0.016194331983805668
